ENST	Transcript.Biotype
1	ENST00000221481	protein_coding
2	ENST00000227507	protein_coding
3	ENST00000241453	protein_coding
4	ENST00000256078	protein_coding
5	ENST00000256474	protein_coding
6	ENST00000257290	protein_coding
7	ENST00000257904	protein_coding
8	ENST00000262643	protein_coding
9	ENST00000262887	protein_coding
10	ENST00000263967	protein_coding
11	ENST00000264709	protein_coding
12	ENST00000265620	protein_coding
13	ENST00000265724	protein_coding
14	ENST00000269305	protein_coding
15	ENST00000269571	protein_coding
16	ENST00000271450	protein_coding
17	ENST00000275493	protein_coding
18	ENST00000277541	protein_coding
19	ENST00000278616	protein_coding
20	ENST00000281043	protein_coding
21	ENST00000288135	protein_coding
22	ENST00000288602	protein_coding
23	ENST00000290295	protein_coding
24	ENST00000291552	protein_coding
25	ENST00000296288	protein_coding
26	ENST00000296302	protein_coding
27	ENST00000296820	protein_coding
28	ENST00000296930	protein_coding
29	ENST00000300305	protein_coding
30	ENST00000304494	protein_coding
31	ENST00000305208	protein_coding
32	ENST00000305737	protein_coding
33	ENST00000306031	protein_coding
34	ENST00000306058	protein_coding
35	ENST00000306090	protein_coding
36	ENST00000306120	protein_coding
37	ENST00000308659	protein_coding
38	ENST00000308731	protein_coding
39	ENST00000309486	protein_coding
40	ENST00000310581	protein_coding
41	ENST00000311936	protein_coding
42	ENST00000312990	protein_coding
43	ENST00000313949	protein_coding
44	ENST00000316448	protein_coding
45	ENST00000318493	protein_coding
46	ENST00000318560	protein_coding
47	ENST00000320356	protein_coding
48	ENST00000321117	protein_coding
49	ENST00000325074	protein_coding
50	ENST00000326324	protein_coding
51	ENST00000326873	protein_coding
52	ENST00000328354	protein_coding
53	ENST00000330062	protein_coding
54	ENST00000331340	protein_coding
55	ENST00000331941	protein_coding
56	ENST00000332351	protein_coding
57	ENST00000334602	protein_coding
58	ENST00000335508	protein_coding
59	ENST00000335922	protein_coding
60	ENST00000337303	protein_coding
61	ENST00000337565	protein_coding
62	ENST00000338783	protein_coding
63	ENST00000338937	protein_coding
64	ENST00000340058	protein_coding
65	ENST00000341462	protein_coding
66	ENST00000342916	protein_coding
67	ENST00000342988	protein_coding
68	ENST00000343289	protein_coding
69	ENST00000343574	protein_coding
70	ENST00000344576	protein_coding
71	ENST00000344626	protein_coding
72	ENST00000344691	protein_coding
73	ENST00000345146	protein_coding
74	ENST00000345392	protein_coding
75	ENST00000346315	protein_coding
76	ENST00000346667	protein_coding
77	ENST00000348295	protein_coding
78	ENST00000349036	protein_coding
79	ENST00000349310	protein_coding
80	ENST00000349496	protein_coding
81	ENST00000349824	protein_coding
82	ENST00000350995	protein_coding
83	ENST00000351666	protein_coding
84	ENST00000351986	protein_coding
85	ENST00000352993	protein_coding
86	ENST00000354071	protein_coding
87	ENST00000354359	protein_coding
88	ENST00000355710	protein_coding
89	ENST00000356175	protein_coding
90	ENST00000356207	protein_coding
91	ENST00000356770	protein_coding
92	ENST00000357364	protein_coding
93	ENST00000357654	protein_coding
94	ENST00000357757	protein_coding
95	ENST00000357943	protein_coding
96	ENST00000358026	protein_coding
97	ENST00000358156	protein_coding
98	ENST00000358273	protein_coding
99	ENST00000358356	protein_coding
100	ENST00000359197	protein_coding
101	ENST00000359597	protein_coding
102	ENST00000359995	protein_coding
103	ENST00000361445	protein_coding
104	ENST00000361570	protein_coding
105	ENST00000361632	protein_coding
106	ENST00000367967	protein_coding
107	ENST00000367969	protein_coding
108	ENST00000367972	protein_coding
109	ENST00000368507	protein_coding
110	ENST00000368508	protein_coding
111	ENST00000369535	protein_coding
112	ENST00000370192	protein_coding
113	ENST00000371075	protein_coding
114	ENST00000371081	protein_coding
115	ENST00000371085	protein_coding
116	ENST00000371095	protein_coding
117	ENST00000371098	protein_coding
118	ENST00000371099	protein_coding
119	ENST00000371100	protein_coding
120	ENST00000371102	protein_coding
121	ENST00000371953	protein_coding
122	ENST00000372348	protein_coding
123	ENST00000372880	protein_coding
124	ENST00000373103	protein_coding
125	ENST00000373104	protein_coding
126	ENST00000373106	protein_coding
127	ENST00000375687	protein_coding
128	ENST00000375689	protein_coding
129	ENST00000376486	protein_coding
130	ENST00000376583	protein_coding
131	ENST00000376585	protein_coding
132	ENST00000376590	protein_coding
133	ENST00000376592	protein_coding
134	ENST00000376838	protein_coding
135	ENST00000379079	protein_coding
136	ENST00000380013	protein_coding
137	ENST00000380152	protein_coding
138	ENST00000380276	protein_coding
139	ENST00000380746	protein_coding
140	ENST00000380982	protein_coding
141	ENST00000381652	protein_coding
142	ENST00000382565	protein_coding
143	ENST00000382566	protein_coding
144	ENST00000382578	protein_coding
145	ENST00000382580	protein_coding
146	ENST00000389048	protein_coding
147	ENST00000391940	protein_coding
148	ENST00000391941	protein_coding
149	ENST00000391944	protein_coding
150	ENST00000391945	protein_coding
151	ENST00000392485	protein_coding
152	ENST00000393252	protein_coding
153	ENST00000393253	protein_coding
154	ENST00000393256	protein_coding
155	ENST00000393293	protein_coding
156	ENST00000393820	protein_coding
157	ENST00000394764	protein_coding
158	ENST00000394830	protein_coding
159	ENST00000396183	protein_coding
160	ENST00000396185	protein_coding
161	ENST00000396334	protein_coding
162	ENST00000397091	protein_coding
163	ENST00000397103	protein_coding
164	ENST00000397108	protein_coding
165	ENST00000397113	protein_coding
166	ENST00000397752	protein_coding
167	ENST00000397979	protein_coding
168	ENST00000397981	protein_coding
169	ENST00000397983	protein_coding
170	ENST00000398017	protein_coding
171	ENST00000398137	protein_coding
172	ENST00000398417	protein_coding
173	ENST00000399237	protein_coding
174	ENST00000399240	protein_coding
175	ENST00000402615	protein_coding
176	ENST00000402667	protein_coding
177	ENST00000402731	protein_coding
178	ENST00000403284	protein_coding
179	ENST00000403642	protein_coding
180	ENST00000404276	protein_coding
181	ENST00000404739	protein_coding
182	ENST00000405570	protein_coding
183	ENST00000405598	protein_coding
184	ENST00000405953	protein_coding
185	ENST00000406381	protein_coding
186	ENST00000406659	protein_coding
187	ENST00000407796	protein_coding
188	ENST00000409057	protein_coding
189	ENST00000409114	protein_coding
190	ENST00000409767	protein_coding
191	ENST00000409915	protein_coding
192	ENST00000410007	protein_coding
193	ENST00000412167	protein_coding
194	ENST00000413133	protein_coding
195	ENST00000413465	protein_coding
196	ENST00000413648	protein_coding
197	ENST00000413656	protein_coding
198	ENST00000413698	protein_coding
199	ENST00000413806	protein_coding
200	ENST00000414963	protein_coding
201	ENST00000415282	protein_coding
202	ENST00000415913	protein_coding
203	ENST00000416177	protein_coding
204	ENST00000416754	protein_coding
205	ENST00000417037	protein_coding
206	ENST00000417583	protein_coding
207	ENST00000417592	protein_coding
208	ENST00000418034	protein_coding
209	ENST00000418048	protein_coding
210	ENST00000419558	protein_coding
211	ENST00000420148	protein_coding
212	ENST00000420246	protein_coding
213	ENST00000420316	protein_coding
214	ENST00000421281	protein_coding
215	ENST00000421516	protein_coding
216	ENST00000422097	protein_coding
217	ENST00000423006	protein_coding
218	ENST00000423351	protein_coding
219	ENST00000423400	protein_coding
220	ENST00000423468	protein_coding
221	ENST00000423897	protein_coding
222	ENST00000424674	protein_coding
223	ENST00000424867	protein_coding
224	ENST00000424893	protein_coding
225	ENST00000425190	protein_coding
226	ENST00000425967	protein_coding
227	ENST00000426121	protein_coding
228	ENST00000426215	protein_coding
229	ENST00000426740	protein_coding
230	ENST00000429416	protein_coding
231	ENST00000431243	protein_coding
232	ENST00000431387	protein_coding
233	ENST00000431678	protein_coding
234	ENST00000431873	protein_coding
235	ENST00000431914	protein_coding
236	ENST00000432179	protein_coding
237	ENST00000433400	protein_coding
238	ENST00000434187	protein_coding
239	ENST00000434810	protein_coding
240	ENST00000436117	protein_coding
241	ENST00000436743	protein_coding
242	ENST00000437180	protein_coding
243	ENST00000438033	protein_coding
244	ENST00000438054	protein_coding
245	ENST00000439181	protein_coding
246	ENST00000439200	protein_coding
247	ENST00000439701	protein_coding
248	ENST00000440174	protein_coding
249	ENST00000440588	protein_coding
250	ENST00000440768	protein_coding
251	ENST00000441708	protein_coding
252	ENST00000442336	protein_coding
253	ENST00000442591	protein_coding
254	ENST00000443193	protein_coding
255	ENST00000443433	protein_coding
256	ENST00000444061	protein_coding
257	ENST00000444181	protein_coding
258	ENST00000444983	protein_coding
259	ENST00000445658	protein_coding
260	ENST00000445888	protein_coding
261	ENST00000446103	protein_coding
262	ENST00000446177	protein_coding
263	ENST00000446179	protein_coding
264	ENST00000447421	protein_coding
265	ENST00000447712	protein_coding
266	ENST00000448076	protein_coding
267	ENST00000449505	protein_coding
268	ENST00000450046	protein_coding
269	ENST00000450130	protein_coding
270	ENST00000450271	protein_coding
271	ENST00000450717	protein_coding
272	ENST00000450969	protein_coding
273	ENST00000451391	protein_coding
274	ENST00000452201	protein_coding
275	ENST00000452508	protein_coding
276	ENST00000452863	protein_coding
277	ENST00000453024	protein_coding
278	ENST00000453137	protein_coding
279	ENST00000453292	protein_coding
280	ENST00000454623	protein_coding
281	ENST00000454757	protein_coding
282	ENST00000455089	protein_coding
283	ENST00000455263	protein_coding
284	ENST00000455339	protein_coding
285	ENST00000455571	protein_coding
286	ENST00000456159	protein_coding
287	ENST00000456369	protein_coding
288	ENST00000456735	protein_coding
289	ENST00000458294	protein_coding
290	ENST00000458345	protein_coding
291	ENST00000459639	protein_coding
292	ENST00000459885	protein_coding
293	ENST00000460680	protein_coding
294	ENST00000460911	protein_coding
295	ENST00000461574	protein_coding
296	ENST00000464465	protein_coding
297	ENST00000468036	protein_coding
298	ENST00000468273	protein_coding
299	ENST00000468300	protein_coding
300	ENST00000469613	protein_coding
301	ENST00000470026	protein_coding
302	ENST00000470173	protein_coding
303	ENST00000470299	protein_coding
304	ENST00000471181	protein_coding
305	ENST00000473961	protein_coding
306	ENST00000475045	protein_coding
307	ENST00000476773	protein_coding
308	ENST00000476777	protein_coding
309	ENST00000477152	protein_coding
310	ENST00000477735	protein_coding
311	ENST00000478368	protein_coding
312	ENST00000478531	protein_coding
313	ENST00000478654	protein_coding
314	ENST00000479692	protein_coding
315	ENST00000483967	protein_coding
316	ENST00000484087	protein_coding
317	ENST00000485403	protein_coding
318	ENST00000486278	protein_coding
319	ENST00000487698	protein_coding
320	ENST00000487825	protein_coding
321	ENST00000489037	protein_coding
322	ENST00000489712	protein_coding
323	ENST00000491747	protein_coding
324	ENST00000493795	protein_coding
325	ENST00000493919	protein_coding
326	ENST00000494123	protein_coding
327	ENST00000494262	protein_coding
328	ENST00000495303	protein_coding
329	ENST00000496384	protein_coding
330	ENST00000497249	protein_coding
331	ENST00000497488	protein_coding
332	ENST00000497750	protein_coding
333	ENST00000498124	protein_coding
334	ENST00000498628	protein_coding
335	ENST00000498820	protein_coding
336	ENST00000498907	protein_coding
337	ENST00000503591	protein_coding
338	ENST00000503856	protein_coding
339	ENST00000504461	protein_coding
340	ENST00000508104	protein_coding
341	ENST00000508170	protein_coding
342	ENST00000508793	protein_coding
343	ENST00000508921	protein_coding
344	ENST00000509690	protein_coding
345	ENST00000512143	protein_coding
346	ENST00000512522	protein_coding
347	ENST00000513237	protein_coding
348	ENST00000514870	protein_coding
349	ENST00000514944	protein_coding
350	ENST00000517671	protein_coding
351	ENST00000521672	protein_coding
352	ENST00000523622	protein_coding
353	ENST00000525001	protein_coding
354	ENST00000526685	protein_coding
355	ENST00000526742	protein_coding
356	ENST00000527775	protein_coding
357	ENST00000527805	protein_coding
358	ENST00000527882	protein_coding
359	ENST00000527891	protein_coding
360	ENST00000529552	protein_coding
361	ENST00000530568	protein_coding
362	ENST00000530628	protein_coding
363	ENST00000530893	protein_coding
364	ENST00000530998	protein_coding
365	ENST00000531525	protein_coding
366	ENST00000532791	protein_coding
367	ENST00000532931	protein_coding
368	ENST00000533491	protein_coding
369	ENST00000533668	protein_coding
370	ENST00000536559	protein_coding
371	ENST00000536783	protein_coding
372	ENST00000537084	protein_coding
373	ENST00000539704	protein_coding
374	ENST00000539790	protein_coding
375	ENST00000539801	protein_coding
376	ENST00000540042	protein_coding
377	ENST00000540048	protein_coding
378	ENST00000540147	protein_coding
379	ENST00000540325	protein_coding
380	ENST00000540499	protein_coding
381	ENST00000540549	protein_coding
382	ENST00000541122	protein_coding
383	ENST00000541220	protein_coding
384	ENST00000541774	protein_coding
385	ENST00000542461	protein_coding
386	ENST00000543898	protein_coding
387	ENST00000543982	protein_coding
388	ENST00000544168	protein_coding
389	ENST00000544455	protein_coding
390	ENST00000544510	protein_coding
391	ENST00000544772	protein_coding
392	ENST00000545011	protein_coding
393	ENST00000545826	protein_coding
394	ENST00000546489	protein_coding
395	ENST00000547281	protein_coding
