Ensembl Gene ID	Ensembl Transcript ID	Chromosome Name	Exon Chr Start (bp)	Exon Chr End (bp)	Associated Gene Name	Exon Rank in Transcript	Gene Biotype
ENSG00000010671	ENST00000308731	X	100641050	100641183	BTK	1	protein_coding
ENSG00000010671	ENST00000308731	X	100630132	100630302	BTK	2	protein_coding
ENSG00000010671	ENST00000308731	X	100629524	100629622	BTK	3	protein_coding
ENSG00000010671	ENST00000308731	X	100626621	100626689	BTK	4	protein_coding
ENSG00000010671	ENST00000308731	X	100624986	100625067	BTK	5	protein_coding
ENSG00000010671	ENST00000308731	X	100617549	100617677	BTK	6	protein_coding
ENSG00000010671	ENST00000308731	X	100617161	100617228	BTK	7	protein_coding
ENSG00000010671	ENST00000308731	X	100615556	100615743	BTK	8	protein_coding
ENSG00000010671	ENST00000308731	X	100615076	100615138	BTK	9	protein_coding
ENSG00000010671	ENST00000308731	X	100614281	100614335	BTK	10	protein_coding
ENSG00000010671	ENST00000308731	X	100613605	100613684	BTK	11	protein_coding
ENSG00000010671	ENST00000308731	X	100613298	100613425	BTK	12	protein_coding
ENSG00000010671	ENST00000308731	X	100612497	100612571	BTK	13	protein_coding
ENSG00000010671	ENST00000308731	X	100611772	100611943	BTK	14	protein_coding
ENSG00000010671	ENST00000308731	X	100611040	100611256	BTK	15	protein_coding
ENSG00000010671	ENST00000308731	X	100609618	100609682	BTK	16	protein_coding
ENSG00000010671	ENST00000308731	X	100608858	100608976	BTK	17	protein_coding
ENSG00000010671	ENST00000308731	X	100608182	100608339	BTK	18	protein_coding
ENSG00000010671	ENST00000308731	X	100604438	100604944	BTK	19	protein_coding
ENSG00000010671	ENST00000470069	X	100608858	100608972	BTK	1	protein_coding
ENSG00000010671	ENST00000470069	X	100608031	100608339	BTK	2	protein_coding
ENSG00000010671	ENST00000488970	X	100608858	100609209	BTK	1	protein_coding
ENSG00000010671	ENST00000488970	X	100608307	100608339	BTK	2	protein_coding
ENSG00000010671	ENST00000478995	X	100611772	100611792	BTK	1	protein_coding
ENSG00000010671	ENST00000478995	X	100610573	100611256	BTK	2	protein_coding
ENSG00000010671	ENST00000470329	X	100613298	100613349	BTK	1	protein_coding
ENSG00000010671	ENST00000470329	X	100612497	100612571	BTK	2	protein_coding
ENSG00000010671	ENST00000470329	X	100611499	100611943	BTK	3	protein_coding
ENSG00000010671	ENST00000464006	X	100617549	100617803	BTK	1	protein_coding
ENSG00000010671	ENST00000464006	X	100617179	100617228	BTK	2	protein_coding
ENSG00000010671	ENST00000464567	X	100641050	100641136	BTK	1	protein_coding
ENSG00000010671	ENST00000464567	X	100630132	100630302	BTK	2	protein_coding
ENSG00000010671	ENST00000464567	X	100629294	100629622	BTK	3	protein_coding
ENSG00000010671	ENST00000372880	X	100641050	100641167	BTK	1	protein_coding
ENSG00000010671	ENST00000372880	X	100632847	100633011	BTK	2	protein_coding
ENSG00000010671	ENST00000372880	X	100630132	100630302	BTK	3	protein_coding
ENSG00000010671	ENST00000372880	X	100629524	100629622	BTK	4	protein_coding
ENSG00000010671	ENST00000372880	X	100626621	100626689	BTK	5	protein_coding
ENSG00000010671	ENST00000372880	X	100624986	100625067	BTK	6	protein_coding
ENSG00000010671	ENST00000372880	X	100617549	100617677	BTK	7	protein_coding
ENSG00000010671	ENST00000372880	X	100617161	100617228	BTK	8	protein_coding
ENSG00000010671	ENST00000372880	X	100615556	100615743	BTK	9	protein_coding
ENSG00000010671	ENST00000372880	X	100615076	100615138	BTK	10	protein_coding
ENSG00000010671	ENST00000372880	X	100614281	100614335	BTK	11	protein_coding
ENSG00000010671	ENST00000372880	X	100613605	100613684	BTK	12	protein_coding
ENSG00000010671	ENST00000372880	X	100613362	100613425	BTK	13	protein_coding
ENSG00000010671	ENST00000372880	X	100609618	100609682	BTK	14	protein_coding
ENSG00000010671	ENST00000372880	X	100608858	100608976	BTK	15	protein_coding
ENSG00000010671	ENST00000372880	X	100608182	100608339	BTK	16	protein_coding
ENSG00000010671	ENST00000372880	X	100604435	100604944	BTK	17	protein_coding
ENSG00000012048	ENST00000357654	17	41277288	41277387	BRCA1	1	protein_coding
ENSG00000012048	ENST00000357654	17	41276034	41276132	BRCA1	2	protein_coding
ENSG00000012048	ENST00000357654	17	41267743	41267796	BRCA1	3	protein_coding
ENSG00000012048	ENST00000357654	17	41258473	41258550	BRCA1	4	protein_coding
ENSG00000012048	ENST00000357654	17	41256885	41256973	BRCA1	5	protein_coding
ENSG00000012048	ENST00000357654	17	41256139	41256278	BRCA1	6	protein_coding
ENSG00000012048	ENST00000357654	17	41251792	41251897	BRCA1	7	protein_coding
ENSG00000012048	ENST00000357654	17	41249261	41249306	BRCA1	8	protein_coding
ENSG00000012048	ENST00000357654	17	41247863	41247939	BRCA1	9	protein_coding
ENSG00000012048	ENST00000357654	17	41243452	41246877	BRCA1	10	protein_coding
ENSG00000012048	ENST00000357654	17	41242961	41243049	BRCA1	11	protein_coding
ENSG00000012048	ENST00000357654	17	41234421	41234592	BRCA1	12	protein_coding
ENSG00000012048	ENST00000357654	17	41228505	41228631	BRCA1	13	protein_coding
ENSG00000012048	ENST00000357654	17	41226348	41226538	BRCA1	14	protein_coding
ENSG00000012048	ENST00000357654	17	41222945	41223255	BRCA1	15	protein_coding
ENSG00000012048	ENST00000357654	17	41219625	41219712	BRCA1	16	protein_coding
ENSG00000012048	ENST00000357654	17	41215891	41215968	BRCA1	17	protein_coding
ENSG00000012048	ENST00000357654	17	41215350	41215390	BRCA1	18	protein_coding
ENSG00000012048	ENST00000357654	17	41209069	41209152	BRCA1	19	protein_coding
ENSG00000012048	ENST00000357654	17	41203080	41203134	BRCA1	20	protein_coding
ENSG00000012048	ENST00000357654	17	41201138	41201211	BRCA1	21	protein_coding
ENSG00000012048	ENST00000357654	17	41199660	41199720	BRCA1	22	protein_coding
ENSG00000012048	ENST00000357654	17	41196312	41197819	BRCA1	23	protein_coding
ENSG00000012048	ENST00000468300	17	41277294	41277468	BRCA1	1	protein_coding
ENSG00000012048	ENST00000468300	17	41276034	41276132	BRCA1	2	protein_coding
ENSG00000012048	ENST00000468300	17	41267743	41267796	BRCA1	3	protein_coding
ENSG00000012048	ENST00000468300	17	41258473	41258550	BRCA1	4	protein_coding
ENSG00000012048	ENST00000468300	17	41256885	41256973	BRCA1	5	protein_coding
