5' UTR Start	5' UTR End	3' UTR Start	3' UTR End	Chromosome Name	Exon Chr Start (bp)	Exon Chr End (bp)
28674648	28674729			13	28674605	28674729
				13	28644628	28644749
				13	28636004	28636206
				13	28631484	28631599
				13	28626682	28626811
				13	28624232	28624359
				13	28623772	28623911
				13	28623521	28623674
				13	28622412	28622580
				13	28611322	28611425
				13	28610072	28610180
				13	28609632	28609810
				13	28608438	28608544
				13	28608219	28608351
				13	28608024	28608128
				13	28602315	28602425
				13	28601225	28601378
				13	28598998	28599080
				13	28597487	28597614
				13	28592604	28592726
				13	28589727	28589838
				13	28589294	28589393
				13	28588589	28588694
		28577411	28578188	13	28577411	28578311
25403685	25403737			12	25403685	25403737
25398319	25398329			12	25398208	25398329
				12	25380168	25380346
				12	25378548	25378707
		25368371	25368374	12	25368371	25368494
		25362365	25362845	12	25362365	25362845
10182692	10183531			3	10182692	10183871
				3	10188198	10188320
		10191650	10193904	3	10191471	10193904
178866311	178866391			3	178866311	178866391
178916538	178916613			3	178916538	178916965
				3	178917478	178917687
				3	178919078	178919328
				3	178921332	178921577
				3	178922291	178922376
				3	178927383	178927488
				3	178927974	178928126
				3	178928219	178928353
				3	178935998	178936122
				3	178936984	178937065
				3	178937359	178937523
				3	178937737	178937840
				3	178938774	178938945
				3	178941869	178941975
				3	178942488	178942609
				3	178943750	178943828
				3	178947060	178947230
				3	178947792	178947909
				3	178948013	178948164
		178952153	178957881	3	178951882	178957881
25565299	25565459			2	25565299	25565459
25536854	25537030			2	25536782	25537030
				2	25523008	25523112
				2	25505310	25505580
				2	25498369	25498412
				2	25497810	25497956
				2	25470906	25471121
				2	25470460	25470618
				2	25469920	25470027
				2	25469489	25469645
				2	25469029	25469178
				2	25468889	25468933
				2	25468122	25468201
				2	25467409	25467521
				2	25467024	25467207
				2	25466767	25466851
				2	25464431	25464576
				2	25463509	25463599
				2	25463171	25463319
				2	25461999	25462084
				2	25459805	25459874
				2	25458576	25458694
		25455845	25457147	2	25455845	25457289
7590695	7590856			17	7590695	7590856
7579913	7579940			17	7579839	7579940
				17	7579700	7579721
				17	7579312	7579590
				17	7578371	7578554
				17	7578177	7578289
				17	7577499	7577608
				17	7577019	7577155
				17	7576853	7576926
				17	7573927	7574033
		7571720	7572926	17	7571720	7573008
55086794	55086970			7	55086794	55087058
				7	55209979	55210130
				7	55210998	55211181
				7	55214299	55214433
				7	55218987	55219055
				7	55220239	55220357
				7	55221704	55221845
				7	55223523	55223639
				7	55224226	55224352
				7	55224452	55224525
				7	55225356	55225446
				7	55227832	55228031
				7	55229192	55229324
				7	55231426	55231516
				7	55232973	55233130
				7	55238868	55238906
				7	55240676	55240817
				7	55241614	55241736
				7	55242415	55242513
				7	55248986	55249171
				7	55259412	55259567
				7	55260459	55260534
				7	55266410	55266556
				7	55268009	55268106
				7	55268881	55269048
				7	55269428	55269475
				7	55270210	55270318
		55273311	55279321	7	55272949	55279321
139440239	139440314			9	139440178	139440314
				9	139438476	139438554
				9	139418169	139418431
				9	139417302	139417640
				9	139413895	139414017
				9	139413043	139413276
				9	139412589	139412744
				9	139412204	139412389
				9	139411724	139411837
				9	139410433	139410546
				9	139409935	139410168
				9	139409742	139409852
				9	139408962	139409154
				9	139407844	139407989
				9	139407473	139407586
				9	139405604	139405723
				9	139405105	139405257
				9	139404185	139404413
				9	139403322	139403523
				9	139402684	139402837
				9	139402407	139402591
				9	139401757	139401889
				9	139401168	139401425
				9	139400979	139401091
				9	139399762	139400333
				9	139399125	139399556
				9	139397634	139397782
				9	139396724	139396940
				9	139396453	139396540
				9	139396200	139396365
				9	139395004	139395299
				9	139393564	139393711
				9	139393351	139393448
		139388896	139390522	9	139388896	139392010
108093559	108093913			11	108093559	108093913
108098322	108098351			11	108098322	108098423
				11	108098503	108098615
				11	108099905	108100050
				11	108106397	108106561
				11	108114680	108114845
				11	108115515	108115753
				11	108117691	108117854
				11	108119660	108119829
				11	108121428	108121799
				11	108122564	108122758
				11	108123544	108123639
				11	108124541	108124766
				11	108126942	108127067
				11	108128208	108128333
				11	108129713	108129802
				11	108137898	108138069
				11	108139137	108139336
				11	108141791	108141873
				11	108141978	108142133
				11	108143259	108143334
				11	108143449	108143579
				11	108150218	108150335
				11	108151722	108151895
				11	108153437	108153606
				11	108154954	108155200
				11	108158327	108158442
				11	108159704	108159830
				11	108160329	108160528
				11	108163346	108163520
				11	108164040	108164204
				11	108165654	108165786
				11	108168014	108168109
				11	108170441	108170612
				11	108172375	108172516
				11	108173580	108173756
				11	108175402	108175579
				11	108178624	108178711
				11	108180887	108181042
				11	108183138	108183225
				11	108186550	108186638
				11	108186738	108186840
				11	108188100	108188248
				11	108190681	108190785
				11	108192028	108192147
