chr3	43290	43290	V600E	BRAF	Sensitivity to vemurafenib for patients with melanoma	1-BRAF_V600E	hotspot coverage
chr17	7565257	7565332	MUTATION	TP53	Poor outcome for patients with AML	1-TP53_MUTATION	full tiling
chr17	7569524	7569562	MUTATION	TP53	Poor outcome for patients with AML	2-TP53_MUTATION	full tiling
chr17	7572927	7573008	MUTATION	TP53	Poor outcome for patients with AML	3-TP53_MUTATION	full tiling
chr17	7573927	7574033	MUTATION	TP53	Poor outcome for patients with AML	4-TP53_MUTATION	full tiling
chr17	7576537	7576584	MUTATION	TP53	Poor outcome for patients with AML	5-TP53_MUTATION	full tiling
chr17	7576625	7576657	MUTATION	TP53	Poor outcome for patients with AML	6-TP53_MUTATION	full tiling
chr17	7576853	7576926	MUTATION	TP53	Poor outcome for patients with AML	7-TP53_MUTATION	full tiling
chr17	7577019	7577155	MUTATION	TP53	Poor outcome for patients with AML	8-TP53_MUTATION	full tiling
chr17	7577499	7577608	MUTATION	TP53	Poor outcome for patients with AML	9-TP53_MUTATION	full tiling
chr17	7578177	7578289	MUTATION	TP53	Poor outcome for patients with AML	10-TP53_MUTATION	full tiling
chr17	7578371	7578554	MUTATION	TP53	Poor outcome for patients with AML	11-TP53_MUTATION	full tiling
chr17	7579312	7579590	MUTATION	TP53	Poor outcome for patients with AML	12-TP53_MUTATION	full tiling
chr17	7579700	7579721	MUTATION	TP53	Poor outcome for patients with AML	13-TP53_MUTATION	full tiling
chr17	7579839	7579912	MUTATION	TP53	Poor outcome for patients with AML	14-TP53_MUTATION	full tiling
chr10	89624206	89624326	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	1-PTEN_LOSS	sparse tiling
chr10	89653764	89653884	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	2-PTEN_LOSS	sparse tiling
chr10	89685232	89685352	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	3-PTEN_LOSS	sparse tiling
chr10	89690764	89690884	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	4-PTEN_LOSS	sparse tiling
chr10	89692829	89692949	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	5-PTEN_LOSS	sparse tiling
chr10	89711885	89712005	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	6-PTEN_LOSS	sparse tiling
chr10	89717633	89717753	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	7-PTEN_LOSS	sparse tiling
chr10	89720703	89720823	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	8-PTEN_LOSS	sparse tiling
chr10	89725076	89725196	LOSS	PTEN	Supports resistance of Everolimus for patients with bladder cancer	9-PTEN_LOSS	sparse tiling
